dhf,dlf,whf,wlf,dha,dla,dhw,dlw,whw,wlw,hr
17,19.75,21.25,28,20.75,21.5,17,19,21.5,23.75,32.86666667
17.25,18.75,21.25,24.5,19.25,19,17,18.5,21.75,23.75,33.03333333
17.5,18.25,21,25,18.25,19,17,18.75,21,23.75,33.2
17.5,19,21,25,17.25,18.5,17,18.5,20.5,23.75,33.36666667
17.25,19.25,20.75,25,17.75,18.5,17,18.75,21.25,23.75,33.53333333
17.25,19.25,20.75,25,17.75,18.25,17,18.5,22,23.75,33.7
17.25,19.25,20.75,25,17.75,18.5,17,18.75,21.75,23.75,33.86666667
17.25,19.25,20.75,25,17.75,18.5,17,18.5,20.5,23.75,34.03333333
17,19.25,20.75,25,17.75,18.5,17,18.75,20.5,23.75,34.2
17.25,19.25,20.75,25,17.75,18.5,17,18.5,21.5,23.75,34.36666667
17.25,19.25,20.75,25,17.75,18.5,17,18.75,22,23.75,34.53333333
17,19.25,20.75,25,17.75,18.5,17,18.5,21.25,23.75,34.7
17.25,19.25,20.75,25,17.75,18.25,17,18.75,20.5,23.75,34.86666667
17.25,19.25,20.75,25,17.75,18.5,17,18.5,21.25,23.75,35.03333333
17.25,19.25,20.75,25,17.75,18.5,17,18.75,22,23.75,35.2
17.25,19.25,20.75,25,17.75,18.5,17,18.5,21.75,23.75,35.36666667
17.25,19.25,20.75,25,17.75,18.5,17,18.75,20.5,23.75,35.53333333
17.5,19.25,20.75,25,17.75,18,17,18.25,20.75,23.75,35.7
17.25,19.25,20.75,25,17.75,18.5,17,18.75,21.75,23.75,35.86666667
17.25,19.25,20.75,25,17.75,18.5,17,18.25,21.75,23.75,36.03333333
17.25,19.25,20.75,25,17.75,18.5,17,18.5,21,23.75,36.2
17.25,19.25,20.75,25,17.75,18.5,17,18.5,20.5,23.75,36.36666667
17.25,19.25,20.75,25,17.75,18.5,17,18.5,21.5,23.75,36.53333333
17.25,19.25,20.75,25,17.75,18.5,17,18.5,21.75,23.75,36.7
17,19.25,20.75,25,17.75,18.5,17,18.5,21,23.75,36.86666667
17,19.25,20.75,24.75,17.5,18,17,18.5,20.5,23.75,37.03333333
17.25,19,20.75,24.5,17.25,18.5,17,18.5,21.25,23.75,37.2
17,17.75,20.75,24.75,15.75,18,17,18,22,23.75,37.36666667
16.75,16.75,20.75,24.75,16.25,18,17,18.5,21.25,23.75,37.53333333
17.25,16.25,20.75,24.75,16.75,18.5,17,18.5,20.5,23.75,37.7
17,16.25,20.75,24.75,16.75,18,16.75,18.25,20.75,23.75,37.86666667
16.75,16.25,20.75,24.75,16.75,18,16.75,18.5,21.5,23.75,38.03333333
17,16.25,20.75,24.75,16.75,18,17,18,21.25,23.75,38.2
16.75,16.25,20.75,24.75,16.75,18,17,18.25,20.5,23.75,38.36666667
16.75,16.25,20.75,24.75,16.75,18,17,18,20.75,23.75,38.53333333
16.75,16.25,20.5,24.75,16.75,17.5,16.75,18.25,21.5,23.75,38.7
16.75,16.25,20.75,24.75,16.75,17.5,17,17.75,21.75,23.75,38.86666667
16.5,16.25,20.5,24.75,16.75,17.75,17,18.25,20.5,23.75,39.03333333
16.5,16.25,20.75,24.75,16.75,17.5,17,18,20.5,23.75,39.2
16.25,16.25,20.75,24.75,16.75,17.5,17,18,21.5,23.75,39.36666667
16.5,16.25,20.75,24.75,16.75,18,17,17.75,22,23.75,39.53333333
16.25,16.25,20.5,24.75,16.75,17.25,17,17.5,21,23.75,39.7
16.25,16.25,20.5,24.75,16.75,17.5,17,17.5,20.5,23.75,39.86666667
16.25,16.25,20.25,24.75,16.75,17,17,18,21.25,23.75,40.03333333
16.25,16.25,20.25,24.75,16.75,17.5,17,17.5,21.75,23.75,40.2
16.25,16.25,20.25,24.75,16.75,17,16.75,18,21,23.75,40.36666667
16.25,16.25,20.25,24.75,16.75,17,16.75,17.5,20.5,23.75,40.53333333
16,16.25,20.25,24.75,16.75,17,17,18,21.5,23.75,40.7
16,16.25,20.25,24.75,16.75,17,17,18,21.75,23.75,40.86666667
16,16.25,20.25,24,16.75,17,16.75,17.5,21,23.75,41.03333333
15.75,15.25,20.25,22.25,14.75,16.5,16.75,18,20.5,23.75,41.2
15.75,15.75,20.25,22.5,14.75,17,16.75,17.5,21.5,23.75,41.36666667
15.75,15.75,20.25,22.5,15.25,16.75,17,17.5,21.75,23.75,41.53333333
15.75,15.75,20.25,22.5,15.25,16.75,17,17.75,21,23.75,41.7
15.75,15.75,20.25,22.5,15.25,17,17,17,20.5,23.75,41.86666667
16,15.75,20.25,22.5,15.5,17,16.75,17.5,21.25,23.75,42.03333333
15.75,15.75,20.25,22.5,15.5,17,16.75,17,22,23.75,42.2
15.75,15.75,20.25,22.5,15.5,17,17,17.5,21.25,23.75,42.36666667
15.75,15.75,20.25,22.5,15.25,16.5,17,17.5,20.5,23.75,42.53333333
16,15.75,20.25,22.5,15.5,17,17,17,21.25,23.75,42.7
15.75,15.75,20.25,22.5,15.5,17,16.75,17,22,23.75,42.86666667
15.75,15.75,20.25,22.5,15.5,17,16.75,17,21.75,23.75,43.03333333
15.75,15.75,20.25,22.5,15.25,16.5,16.75,17.5,20.75,23.75,43.2
15.25,15.75,20.25,22.5,15.25,17,17,16.5,20.75,23.75,43.36666667
15.75,15.75,20.25,22.5,15.25,16.5,17,17,21.5,23.75,43.53333333
15.25,15.75,20.25,22.5,15.25,16.5,17,17,22,23.75,43.7
15.75,15.75,20.25,22.5,15.5,17,17,16.75,21,23.75,43.86666667
15.5,15.75,20.25,22.5,15.25,16.5,16.75,17,20.5,23.75,44.03333333
15.5,15.5,20.25,22.5,15.5,17,16.75,16.5,21.25,23.75,44.2
15.75,16.5,20,22,15.25,16.5,16.75,17,22,23.75,44.36666667
15.75,17.25,20,24,16.25,17,17,16.5,21.5,23.75,44.53333333
15.25,17.25,20,25,17.75,16.5,17,17,20.5,23.75,44.7
15.25,17.25,20,25,17.5,17,17,16.5,21.25,23.75,44.86666667
15.25,17.25,20,24.25,17.25,16.5,16.75,16.75,22,23.75,45.03333333
15.25,17.25,20,24.5,17.25,17,16.75,16.5,21.75,23.75,45.2
15.5,19,20.25,24.75,18.25,17,16.75,17,20.5,23.75,45.36666667
15.5,19.25,20.25,24.75,18.25,17.5,16.75,16.5,20.75,23.75,45.53333333
15.75,19.25,20.25,24.75,18.25,17,16.75,17,21.75,23.75,45.7
15.5,19.25,20.25,24.75,18.25,17.5,17,17.25,22,23.75,45.86666667
15.75,19.25,20.25,24.75,18.25,17.5,17,17,21,23.75,46.03333333
15.75,19.25,20.25,24.75,18.25,17.75,17,17,20.75,23.75,46.2
15.75,19.25,20.25,24.75,18.25,18,17,17,21.5,23.75,46.36666667
16,19.25,20.25,24.75,18.25,18,16.75,17.25,21.75,23.75,46.53333333
18.25,19.25,20.25,24.75,18.25,18.5,16.75,17,21,23.75,46.7
16,19.5,20.75,24.25,21.25,18,17,17.5,20.5,23.75,46.86666667
16.25,19.25,20.25,24.75,18.25,18.5,17,17.5,21.75,23.5,47.03333333
15.75,19.25,20.25,24.5,18.25,18.25,17,17,19,23.75,47.2
16,19.25,20.25,24.75,18.25,19,17,17.5,18.5,23.75,47.36666667
16.25,19.25,20.25,24.75,18.25,18.5,17.5,19.75,20.75,23.75,47.53333333
16.25,19.25,20.25,24.75,18.25,19,17,18,20.75,23.75,47.7
16.25,19.25,20.25,24.75,18.25,19,17,17.5,19.5,23.75,47.86666667
16.25,19.25,20.25,24.75,18.25,19,17,17.5,19.5,23.75,48.03333333
16.5,19.25,20.25,24.75,18.25,19.5,17,17.5,20.25,23.75,48.2
16.25,19.25,20.25,24.5,18.25,19.25,17,17.75,20.75,23.75,48.36666667
16.5,19.25,20.25,24.75,18.25,20,16.75,17.5,19.5,23.75,48.53333333
16.5,19.25,20.25,24.75,18.25,19.5,16.75,18,19.5,23.75,48.7
16.75,19.25,20.25,24.75,18.25,20,17,18,20.25,23.75,48.86666667
16.75,19.25,20.25,24.75,18.25,19.5,17,17.75,20.5,23.75,49.03333333
16.5,19.25,20.75,24.75,18.25,20.25,17,18,19.5,23.75,49.2
17,19,20.75,24.75,17.25,19.75,16.75,18,19.5,23.75,49.36666667
17,19.5,20.75,25,19.25,20.5,17,18.5,20.5,23.75,49.53333333
16.5,20,20.75,27,21.25,20,17,18,20.25,23.75,49.7
16.5,20,20.75,28,20.75,20.5,17,18.5,19.5,23.75,49.86666667
16.75,20,20.75,28,20.75,20,17,18,19.75,23.75,50.03333333
16.75,20,20.75,28,20.75,20.5,16.75,18.5,20.75,23.75,50.2
16.75,20,20.75,28,20.75,20,16.75,18.5,20.75,23.75,50.36666667
16.75,20,20.75,28,20.75,20.75,16.75,18.5,19.5,23.75,50.53333333
16.75,20,20.75,28,20.75,20.25,17,18.5,19.75,23.75,50.7
16.75,20,20.75,28,20.75,21,17,18.5,20.75,23.75,50.86666667
17,20,20.75,28,20.75,20.5,17,19,20.25,23.75,51.03333333
17,20,20.75,28,20.75,21,17,18.5,19.5,23.75,51.2
17.25,20,20.75,28,20.75,20.5,16.75,19,19.75,23.75,51.36666667
17.25,20,20.75,28,20.75,21,16.75,18.5,20.75,23.75,51.53333333
17,20,20.75,28,20.75,21,17,19.25,20.25,23.75,51.7
17,20,20.75,28,20.75,21,17,19,19.5,23.75,51.86666667
17,20,20.75,28,20.75,21,17,19,20.25,23.75,52.03333333
17,20,20.75,28,20.75,21,17,19,20.75,23.75,52.2
17,20,20.75,28,20.75,21.5,16.75,19,20,23.75,52.36666667
17.25,20,20.75,28,20.75,21,16.75,19.5,19.5,23.75,52.53333333
17,20,21.25,28,20.75,21.5,17,19,20,23.75,52.7
17.25,20,21,28,20.75,21,17,19.5,20.75,23.75,52.86666667
17.25,20,21.25,28,20.75,21.25,17,19.25,20,23.75,53.03333333
17.25,20,21.25,28,20.75,21.5,17,19.5,19.5,23.75,53.2
17,20,21.25,28,20.75,21,17,19.5,20.25,23.75,53.36666667
17.25,20,21.25,28,20.75,21.5,16.75,19.25,20.75,23.75,53.53333333
17.5,20,21.25,28,20.75,21,16.75,19.5,20,23.75,53.7
17.25,20,21.25,28,20.75,21.5,17,19,19.5,23.75,53.86666667
16.75,20,21.25,28,20.75,21.5,17,19.5,20.25,23.75,54.03333333
17.25,20,21.25,28,20.5,21.25,17,19.25,20.25,23.75,54.2
17.25,20,21.25,28,20.25,21.5,16.75,19.5,19.5,23.75,54.36666667
17.25,20,21.25,28,20.25,21,16.75,19.5,19.75,23.75,54.53333333
17.25,20,21.25,28,20.75,21.5,17,19.25,20.25,23.75,54.7
17.25,19.75,21.25,28,20.5,21,17,19.5,20.75,23.75,54.86666667
17.25,20,21.25,28,20.25,21.5,17,19,20,23.75,55.03333333
17.25,20,21.25,28,20.25,21.5,16.75,19.5,19.75,23.75,55.2
17.25,19.75,21.25,28,20.25,21,17,19.25,20.25,23.75,55.36666667
17.25,20,21.25,28,20.25,21.5,17,19.5,20.25,23.75,55.53333333
17.25,20,21.25,28,20.25,21,17,19.5,19.5,23.75,55.7
17.25,20,21.25,28,20.25,21.5,17,19.5,19.75,23.75,55.86666667
17.25,20,21.25,28,20.25,21,16.75,19.5,20.25,23.75,56.03333333
17.25,20,21.25,28,20.25,21.5,17,19.25,20.25,23.75,56.2
17.25,20,21.25,28,20.25,21.5,17,19.5,19.5,23.75,56.36666667
17.25,20,21.25,28,20.25,21,17,19,19.75,23.75,56.53333333
